Track,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Doing Alright,Queen,1973,249213,4,0.341,0.293,9,-12.408,1,0.0356,0.756,0.0000231,0.0833,0.178,93.294,32
Great King Rat,Queen,1973,343013,4,0.35,0.851,4,-12.363,0,0.208,0.0404,0.000619,0.115,0.428,135.276,26
Jesus,Queen,1973,224173,4,0.356,0.74,11,-7.077,0,0.163,0.153,0.00000104,0.165,0.531,114.756,22
Keep Yourself Alive - 2011 Mix,Queen,1973,226720,4,0.419,0.721,2,-9.498,1,0.0792,0.25,0.0000417,0.104,0.593,134.204,31
Liar,Queen,1973,383920,4,0.261,0.787,2,-7.227,1,0.212,0.00279,0.0626,0.178,0.267,149.084,23
Modern Times Rock 'N Roll,Queen,1973,108173,4,0.47,0.934,4,-9.208,0,0.0673,0.0635,0.000057,0.862,0.513,115.763,23
My Fairy King,Queen,1973,248160,4,0.314,0.536,5,-10.059,1,0.0322,0.35,0.0085,0.127,0.276,99.812,26
Seven Seas Of Rhye,Queen,1973,76587,4,0.303,0.485,2,-13.346,1,0.0421,0.726,0.953,0.207,0.0451,107.148,20
Son And Daughter,Queen,1973,199547,4,0.328,0.716,4,-7.769,1,0.0432,0.139,0.023,0.354,0.744,144.869,20
The Night Comes Down,Queen,1973,263027,4,0.402,0.569,7,-12.319,1,0.059,0.683,0.0022,0.423,0.67,143.466,24
Father To Son,Queen II,1974,373853,4,0.171,0.646,0,-11.086,1,0.0547,0.212,0.0000665,0.191,0.224,147.384,25
Funny How Love Is,Queen II,1974,169760,4,0.444,0.945,0,-8.384,1,0.0776,0.003,0.0000679,0.345,0.431,145.497,21
Nevermore,Queen II,1974,78667,3,0.366,0.398,5,-11.499,1,0.0367,0.872,0.00000195,0.13,0.186,118.48,24
Ogre Battle,Queen II,1974,248453,4,0.279,0.822,2,-9.657,1,0.0923,0.418,0.00573,0.618,0.266,108.544,23
