time,weather_code,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,apparent_temperature_max,apparent_temperature_min,showers_sum,rain_sum,snowfall_sum,et0_fao_evapotranspiration,temperature_2m_avg,temperature_range,precipitation_total,day_of_week,month,year,season,is_storm
2000-01-01,51,12.0,4.2,20.3,38.2,88,10.3,-0.3,0.0,0.5,0.0,0.73,8.1,7.8,0.5,5,1,2000,winter,1
2000-01-02,3,7.5,2.1,25.2,47.2,251,3.0,-1.4,0.0,0.0,0.0,0.81,4.8,5.4,0.0,6,1,2000,winter,1
2000-01-03,71,2.1,-1.6,12.7,27.0,339,-1.1,-6.0,0.0,0.0,0.28,0.5,0.25,3.7,0.0,0,1,2000,winter,1
2000-01-04,71,-0.5,-2.2,19.0,39.2,26,-6.0,-7.5,0.0,0.0,0.14,0.7,-1.35,1.7000000000000002,0.0,1,1,2000,winter,1
2000-01-05,3,1.7,-2.1,18.5,35.6,33,-2.7,-7.4,0.0,0.0,0.0,0.54,-0.20000000000000007,3.8,0.0,2,1,2000,winter,1
2000-01-06,3,3.1,0.1,8.0,19.8,38,-0.1,-3.4,0.0,0.0,0.0,0.35,1.6,3.0,0.0,3,1,2000,winter,0
2000-01-07,3,5.3,1.5,13.0,28.4,58,1.5,-1.9,0.0,0.0,0.0,0.52,3.4,3.8,0.0,4,1,2000,winter,1
2000-01-08,3,3.2,-0.2,18.4,38.5,56,-1.4,-4.8,0.0,0.0,0.0,0.43,1.5,3.4000000000000004,0.0,5,1,2000,winter,1
2000-01-09,3,2.1,-0.8,16.6,33.5,59,-2.6,-5.2,0.0,0.0,0.0,0.45,0.65,2.9000000000000004,0.0,6,1,2000,winter,1
2000-01-10,3,2.4,-1.3,14.4,30.6,53,-2.0,-5.8,0.0,0.0,0.0,0.47,0.5499999999999999,3.7,0.0,0,1,2000,winter,1
2000-01-11,3,1.3,-0.9,16.1,32.8,44,-3.3,-5.1,0.0,0.0,0.0,0.4,0.2,2.2,0.0,1,1,2000,winter,1
