feature;importance
wind_speed_10m;0,7525616227639101
hour;0,06929520117581232
wind_gusts_10m;0,05342684974672774
wind_direction_10m;0,014715349384359585
wind_speed_10m_lag_1;0,013994773545688654
wind_gust_ratio;0,008577131050261831
vapour_pressure_deficit;0,006626330179337686
wind_speed_10m_lag_2;0,006146502114713325
wind_gusts_10m_std_3h;0,006040958660865083
temperature_2m_std_3h;0,005284508557242902
wind_gusts_10m_lag_1;0,004359992190039761
wind_speed_10m_std_3h;0,004216895711575401
wind_speed_10m_mean_3h;0,003774188158407073
dew_point_2m;0,003727927212871011
cloud_cover_mid;0,0036900884624997744
